Judul,Konten
 pbnu  prabowo sandiaga promosikan  oce   kompas com , jakarta  kompas com   bakal calon presiden sekaligus ketua umum partai gerindra prabowo subianto  bakal calon wakil presiden sandiaga uno menyambangi pimpinan pengurus besar nahdlatul ulama  pbnu   kamis  1682018  sore    pertemuan tersebut  pasangan prabowo sandiaga  menyampaikan program   diterapkan  memperoleh amanah memimpin indonesia  waktu lima tahun  depan   program tersebut  oke oce  one kecamatan one center for entrepreneurship    diterapkan  provinsi dki jakarta    disinggung program oke oce  disandingkan  kegiatan santri     pesantren   beberapa tempat tempat pelatihan wirausaha   digunakan  membuka lapangan kerja seluas luasnya   tutur bakal calon wakil presiden sandiaga salahuddin uno  kantor pbnu  jakarta baca    menang  sandiaga bakal lanjutkan program  oce  tingkat nasional sandiaga  menyampaikan   pertemuan  pimpinan pbnu membahas program program  menumbuhkan sikap kewirausahaan   santri     sampaikan  menggagas satu program adaptasi program  oce santri preuner     pelatihan  pendampingan   kemudahan pemasaran    kemudahan  perizinan  pelaporan keuangan   tutur sandiaga    kesempatan   sandiaga  menyampaikan komitmennya  menciptakan pengusaha  kaum santri   memberikan akses permodalan  berwirausaha baca   polda metro jaya tunda penyelidikan kasus sandiaga uno  sisi   kata sandiaga   pertemuan  pimpinan pbnu    saling bertukar pikiran mengenai masalah terkini  dihadapi bangsa indonesia  terutama masalah  bidang ekonomi   misalnya  persoalan kemiskinan  menciptakan suatu ekonomi  lebih adil   stabilitas harga harga kebutuhan pangan  terjangkau      persoalan ekonomi  merupakan concern  bersama      menyalahkan kebijakan  pemerintah  tertentu    sepakat bersama sama bergandeng tangan  memikirkan kondisi bangsa    kata sandiaga     menciptakan percepatan pembangunan  memperbaiki kebijakan kebijakan   berpihak  kemandirian ekonomi   berpihak  perjuangan bersama rakyat   sambung sandiaga   
 hari kemerdekaan  ahok  remisi 2 bulan   kompas com , jakarta  kompas com   mantan gubernur dki jakarta basuki tjahaja purnama  ahok merupakan salah satu terpidana   mendapat remisi  17 agustus 2018  meski mendapat remisi  ahok  menjalani sisa hukuman  lembaga pemasyarakatan    benar  remisi     bebas   ujar kepala bagian hubungan masyarakat direktorat jenderal pemasyarakatan ade kusmanto  dikonfirmasi  kamis  1682018  malam ade  ahok mendapat pemotongan  bulan masa tahanan    peringatan hut 72 republik indonesia lalu  ahok   memperoleh remisi   menjalani masa tahanan selama enam bulan baca     penjara  ahok buat buku  kebijakannya selama  jakarta ahok divonis  tahun penjara  hakim atas kasus penodaan agama  mei 2017  ahok kini ditahan  mako brimob  kelapa   depok pemerintah memberikan penghargaan  102 976 narapidana   menjalani pidananya  baik   penghargaan berupa pemotongan masa tahanan  diberikan bertepatan  peringatan 73 tahun kemerdekaan republik indonesia narapidana dianugerahi remisi umum  pemotongan masa pidana sebanyak satu hingga tiga bulan   adapun   pemberian remisi kali   sebanyak 2 220  antaranya langsung menghirup udara bebas   remisi  diberikan  narapidana   memenuhi persyaratan administratif  substantif  khususnya   berkelakuan baik  aktif mengikuti pembinaan remisi diharapkan membuat seluruh narapidana menyadari  pentingnya menegakkan integritas selama menjalani pidana   sebaliknya  apabila melakukan pelanggaran  sanksi tegas  diberikan   
jalan tengah  kunci perdamaian dunia       kompas com , jakarta  kompas com   gagasan   jalan tengah  dipercaya menjadi kunci perdamaian  peradaban manusia      menjadi perbincangan  acara world peace forum ketujuh  diselenggarakan  14 16 agustus 2018  hotel sultan  jakarta    peserta   diwakilkan  utusan khusus presiden  dialog  kerja sama antar agama  peradaban din syamsuddin  menyimpulkan jalan tengah  orientasi  nilai positif  kehidupan    jalan tengah  jalan  pendekatan  membangun kehidupan  menyelesaikan masalah    sangat berorientasi  nilai nilai  positif   kata din   konferensi pers  menutup acara  hotel sultan  jakarta  kamis  1682018    nilai nilai positif tersebut  berupa keadilan  toleransi  kerja sama  inklusi   kompromi   baca   wapres jk  indonesia terpilih jadi dk pbb  pengalaman perdamaianmereka menegaskan  mengambil jalan tengah bukan berarti  memilih  netral      pilihan  diambil mengacu  nilai nilai positif tersebut   peserta   profesor  universitas boston  amerika serikat robert heffner menambahkan   seseorang  menyerap nilai nilai   hasilnya diyakini  berbuah manis  semua perkara    percaya   menerapkan gagasan tersebut   tercipta kehidupan  berkeadilan  seimbang   seseorang  menemukan keselarasan  kemanusian  alam   spiritual   melihat pentingnya gagasan    peserta percaya jalan tengah perlu diimplementasikan  global  masif    penjelmaannya  saling membantu  saling peduli     diterapkan  ekonomi  politik   lainnya   ujar din syamsuddin   
eks komisioner kpu  penyelenggara pemilu  berpegang  aturan   kompas com , jakarta  kompas com   mantan komisioner komisi pemilihan umum  kpu  hadar nafis gumay mengatakan  penyelenggara pemilu  tak melaksanakan peraturan kpu  pkpu   menjadi ancaman serius  kualitas pemilu  penyelenggara pemilu punya tugas penting  menggelar sekaligus mengawasi pemilu berjalan  baik pernyataan hadar muncul usai badan pengawas pemilu  bawaslu   panitia pengawas pemilu  panwaslu   aceh  tana toraja   sulawesi utara  meloloskan tiga mantan narapidana korupsi  badan calon anggota legislatif  bacaleg      kira   ancaman  sangat serius  penurunan kualitas pemilu    kata hadar  kantor kpu  jakarta pusat  kamis  1682018   keputusan bawaslu  panwaslu  menggugurkan hasil verifikasi kpu setempat  menyatakan ketiga nama  memenuhi syarat  tms   bacaleg baca   larangan mantan napi kasus korupsi  kamuflase hak asasi manusia     perbedaan keduanya  lantaran kpu berpedoman  pkpu nomor 20 tahun 2018  melarang mantan narapidana korupsi  pelaku kejahatan seksual  anak   mantan bandar narkoba mendaftar  caleg  bawaslu  panwaslu menolak berpegang  pkpu  berpedoman  undang undang nomor 7 tahun 2017  pemilu   melarang mantan napi kasus kejahatan berat   caleg hadar    level penyelenggara pemilu  terdapat perbedaan pendapat   potensi terganggunya proses demokrasi menjadi tinggi pkpu      kata hadar   diundangkan  disahkan  kementerian hukum  ham    kekuatan hukumnya  ditetapkan isi  pkpu   sangat baik   tinggal pelaksanaannya   penyelenggara pemilu   berjalan beriringan   baca   tiga eks napi korupsi diloloskan bawaslu  bacaleg  kpu tetap menolakoleh    hadar berharap perbedaan pendapat  kpu  bawaslu tersebut  segera diakhiri    meminta   menyelenggarakan pemilu  bawaslu merujuk  pkpu    sebaiknya  dibenahi   kan bawaslu tugasnya sebaiknya me refer sebagaimana aturan  pkpu   ujar hadar      berlangsung terus menerus  lanjut   ancamannya  kualitas penyelenggaraan pemilu  jadi berantakan      satu usaha menata   satunya malah membalikkan   kata sebelumnya   masa pendaftaran bacaleg  tiga mantan narapidana korupsi  aceh  tana toraja   sulawesi utara dinyatakan  memenuhi syarat  tms   kpu   ketiganya lantas mengajukan sengketa pendaftaran  bawaslu  panwaslu setempat hasil sengketa menyatakan ketiganya memenuhi syarat  ms   menganulir keputusan kpu  menyatakan  tms   komisioner kpu wahyu setiawan menegaskan pihaknya tetap menyatakan tiga mantan napi korupsi  tms   ketiganya   dimasukkan  daftar calon   dcs    diterbitkan  kpu   
17 agustus  prabowo  upacara peringatan kemerdekaan ri  ubk   kompas com , jakarta  kompas com   bakal calon presiden   ketua umum partai gerindra prabowo subianto  mengikuti upacara peringatan hari kemerdekaan 17 agustus 2018  kampus universitas bung karno  ubk      biasanya  ubk  universitas bung karno    kata prabowo  kantor pbnu  jakarta pusat  kamis  1682018   ditanya   kemungkinan   hadir  upacara peringatan hari kemerdekan 73 ri  istana negara  prabowo tak menjawab prabowo direncanakan  mengikuti upacara peringatan hari kemerdekaan 73 ri  kampus ubk  pukul 08 30 wib nantinya  prabowo   menerima anugerah  kampus ubk   tahun lalu  mantan komandan jenderal kopassus   menghadiri upacara peringatan hari kemerdekaan ri  72  tempat  sama   prabowo hadir bersama putri presiden pertama indonesia sukarno  rachmawati soekarnoputri  ketua dewan kehormatan pan amien rais  hingga mantan menteri koordinator bidang kemaritiman rizal ramli   
tiga eks napi korupsi diloloskan bawaslu  bacaleg  kpu tetap menolak   kompas com , jakarta  kompas com   komisioner komisi pemilihan umum  kpu  wahyu setiawan mengatakan  tiga mantan narapidana kasus korupsi  sempat diloloskan  bakal calon anggota legislatif  bacaleg   badan pengawas pemilu  bawaslu   panitia pengawas pemilu  panwaslu     statusnya tetap  memenuhi syarat  tms   artinya   wahyu  ketiganya tetap dinyatakan tak lolos  bacaleg  sesuai  hasil verifikasi kpu     tiga bacaleg   tms    daftar calon   bacaleg   diterbitkan  mengikutsertakan    kata wahyu  kantor kpu  jakarta pusat  kamis  1682018    adapun ketiga mantan napi korupsi  maju  bacaleg tingkat dpd  dprd  aceh  tana toraja   sulawesi utara   baca   ma hentikan  gugatan eks napi koruptor  pkpupada masa pendaftaran bacaleg  ketiganya dinyatakan tms  kpu setempat lantaran berpedoman  peraturan kpu  pkpu  nomor 20 tahun 2018  melarang narapidana korupsi mendaftar  caleg   lantas mengajukan sengketa pendaftaran  bawaslu  panwaslu hasilnya  bawaslu  panwaslu setempat menyatakan  memenuhi syarat  ms   bacaleg   alasannya  undang undang nomor 7 tahun 2017  pemilu tak menyebutkan larangan mantan narapidana korupsi jadi caleg atas  tersebut  wahyu menegaskan  keputusan bawaslu  panwaslu  menganulir hasil verifikasi kpu   berlaku penyelenggara pemilu tetap berpedoman  pkpu  melarang mantan narapidana korupsi  maju  caleg     pandangan kpu  tiga daerah tersebut kpu nya  benar  ukuran   berkerja seusai pkpu   ucap wahyu     konsisten mantan napi korupsi  pelaku kejahatan seksual anak   bandar narkoba  tms kan  bacalon dpd dpr dprd   kata    
berencana ketemu jokowi  prabowo cari waktu  pas   kompas com , jakarta  kompas com   bakal calon presiden   ketua umum partai gerindra prabowo subianto mengaku sedang mencari waktu  tepat  bertemu presiden joko widodo    lihat  dong   beliau  jokowi  presiden  kan  tentunya sibuk     cari waktu  tenang   kata prabowo usai bertemu  ketua pb nahdlatul ulama said aqil siradj  kantor pbnu  jakarta  kamis  1682018   ditanya  mana tempat pertemuan  dipilih  bertemu  jokowi  prabowo tak menjawab prabowo  memastikan dirinya  menemui jokowi  kontestasi pilpres 2019 resmi dimulai baca  prabowo  bertemu presiden jokowi  pilpreskeinginan prabowo bertemu presiden jokowi sebelumnya diungkap   bertemu wakil presiden jusuf kalla  rabu  1582018  malam    pertemuan  hadir  calon wakil presiden sandiaga uno prabowo mengatakan  dirinya  melaksanakan demokrasi  baik  mengedepankan nilai nilai kesantunan meski menjadi rival  kontestasi pilpres 2019  nilai nilai persahabatan  kekeluargaan  tetap dijaga pertemuan  presiden jokowi  kata prabowo   dijadwalkan  peringatan hut ri 17 agustus 2018   
kpu   3 mantan napi korupsi lolos  bacaleg   kompas com , jakarta  kompas com   komisioner komisi pemilihan umum  kpu  wahyu setiawan menyebut  tiga nama mantan narapidana korupsi  lolos  bakal calon legislatif  bacaleg   ketiganya lolos  badan pengawas pemilu  bawaslu   panitia pengawas pemilu  panwaslu  menyatakan  memenuhi syarat  ms   bacaleg padahal  sebelumnya kpu menyatakan ketiganya  memenuhi syarat  tms   baca   kpu kecewa bawaslu  panwaslu loloskan eks koruptor jadi calegtiga putusan  masing masing dikeluarkan  panwaslih aceh  panwaslu tana toraja   bawaslu sulawesi utara     tiga putusan kpu  dianulir lewat putusan bawaslu   kata wahyu  kantor kpu  jakarta pusat  kamis  1682018   tindakan bawaslu  panwaslu tersebut   wahyu   mengabaikan aturan  larangan mantan narapidana korupsi  mendaftar  caleg  sebagaimana tercantum  peraturan kpu  pkpu  nomor 20 tahun 2018 baca   ma  putuskan uji materi  pkpu larangan eks koruptor nyaleg tetap berlaku mestinya  baik bawaslu maupun panwaslu menjadikan pkpu  standar pengawasan     tampaknya bawaslu mengabaikan aturan pemilu   padahal aturan kpu mengikat semua penyelenggara  pemilu    ujar wahyu menyalahi aturan  putusan bawaslu  panwaslu tersebut dikhawatirkan  memengaruhi pelaksanaan pemilu  daerah menurut wahyu   tersebut  jadi preseden  buruk baca   ma hentikan  gugatan eks napi koruptor  pkpumenyikapi  tersebut  wahyu mengaku pihaknya  mengirimkan surat  tiga bawaslu  panwaslu terkait bawaslu  panwaslu  putusan   buat berdasarkan undang undang nomor 7 tahun 2017  pemilu    melarang mantan narapidana korupsi  nyaleg    bawaslu  berpedoman  uu 7 tahun 2017    padahal pkpu  diundangkan  artinya udah sah  diakui  negara   jelas wahyu baca   gerindra anggap  masalah hukum terkait larangan koruptor jadi calegsebelumnya   masa pendaftaran bacaleg  tiga mantan narapidana korupsi  tiga daerah tersebut dinyatakan  memenuhi syarat  tms   kpu ketiganya lantas mengajukan sengketa pendaftaran  bawaslu  panwaslu setempat   hasil sengketa menyatakan ketiganya memenuhi syarat  ms   menganulir keputusan kpu  menyatakan  tms   
kpu kecewa bawaslu  panwaslu loloskan eks koruptor jadi caleg   kompas com , jakarta  kompas com   komisioner komisi pemilihan umum  kpu  wahyu setiawan mengaku kecewa  putusan badan pengawas pemilu  bawaslu   panitia pengawas pemilu  panwaslu   tiga daerah  meloloskan tiga mantan narapidana korupsi  bakal calon legislatif  bacaleg   wahyu  tindakan bawaslu  panwaslu tersebut  mengabaikan peraturan kpu  pkpu  nomor 20 tahun 2018  jelas jelas melarang mantan narapidana korupsi mendaftar  caleg     menyesalkan  sangat kecewa   bawaslu daerah    mengabaikan  tak menghormati pkpu  sah  dinyatakan berlaku  diundangkan   kata wahyu  kantor kpu  jakarta pusat  kamis  1682018   baca   sempat masuk daftar caleg eks napi korupsi  ajang supandi lolos verifikasi kpubawaslu  panwaslu  dimaksud  panwaslih aceh  panwaslu tana toraja   bawaslu sulawesi utara   wahyu menjelaskan  keputusan bawaslu  panwaslu  tiga daerah tersebut meloloskan tiga mantan narapidana korupsi  bacaleg lantaran  berpedoman  undang undang nomor 7 tahun 2017   uu   mantan narapidana korupsi  dilarang nyaleg baca   pemilu 2019  kota padang bebas  bacaleg mantan napi korupsinamun   kata wahyu  pkpu      sah berlaku  diundangkan    mempertegas larangan mantan narapidana korupsi  mendaftarkan diri  caleg       menyesalkan   bawaslu  penyelenggara pemilu bersama kpu  dkpp  dewan kehormatan penyelenggara pemilu  tak menghormati pkpu   sah   berlaku    diundangkan  kementerian hukum  ham   tutur wahyu meskipun uu nomor 7 tahun 2017  dianulir   wahyu  penyelenggara pemilu tak  mengabaikan pkpu  kedudukannya  sah  hukum baca   ajukan caleg mantan napi korupsi  parpol  kehilangan kepercayaan rakyatjika bawaslu  panwaslu hendak menganulir pkpu    keduanya mengajukan uji materi  mahkamah agung  ma     ma  berwenang  membatalkan pkpu    lah  bawaslu tak melakukan pengujian  kemudian menafikan pkpu   tandas wahyu baca   ma  putuskan uji materi  pkpu larangan eks koruptor nyaleg tetap berlakusebelumnya   masa pendaftaran bacaleg  tiga mantan narapidana korupsi  aceh  tana toraja   sulawesi utara dinyatakan  memenuhi syarat  tms   kpu ketiganya lantas mengajukan sengketa pendaftaran  bawaslu  panwaslu setempat hasil sengketa menyatakan ketiganya memenuhi syarat  ms   menganulir keputusan kpu  menyatakan  tms   
banyak anggota dpr tak hadir sidang tahunan  bamsoet serahkan  fraksi   kompas com , jakarta  kompas com   ketua dpr bambang soesatyo menyerahkan  masing masing fraksi  menetapkan sanksi  anggota dpr  tak menghadiri sidang tahunan mpr  dpr   dpd  kamis  1682018   bambang berharap  fraksi memberi sanksi seberat mungkin   anggota dpr   menghadiri sidang tahunan      serahkan  fraksinya  memberi sanksi sekeras kerasnya  seberat beratnya   ujar bamsoet  sapaannya  usai memimpin sidang tahunan  kompleks parlemen  senayan  jakarta bamsoet menerima banyak laporan terkait sejumlah anggota dpr  tak menghadiri sidang tahunan   menjadi agenda rutin setia sehari  perayaan hut ri     banyak laporan   terima   memang musim haji   rata rata naik haji  rata rata   daerah  mendapat penugasan partai   kata baca   236 kursi anggota dewan kosong  sidang tahunan mprsejumlah kursi anggota dpr  mpr   dpd terlihat kosong  sidang tahunan mpr  berlangsung  kompleks parlemen  senayan  jakarta  kamis  1682018   sidang tahunan mpr  dpr   dpd  menjadi agenda tahunan    453 orang  hadir  total 689 jumlah anggota dpr  mpr   dpd    jumlah  hadir 453  689 orang   ucap ketua mpr zulkifli hasan  membuka sidang tahunan mpr sidang tahunan mpr  dpr   dpd dihadiri  presiden joko widodo  wakil presiden jusuf kalla beserta seluruh menteri kabinet kerja sedianya seluruh anggota dpr  mpr   dpd  hadir  sidang tahunan mpr  dpr   dpd  menjadi agenda tahunan   penyelenggaraan sidang tahunan kali   sebanyak 236 anggota mpr  terdiri  anggota dpr  dpd  hadir   
102 976 napi  remisi  uang makan hemat rp 118 miliar   kompas com , jakarta  kompas com   kementerian hukum  ham  kemenkumham  memberikan remisi  pemotongan masa tahanan  102 976 narapidana  hut 73 ri  jumat  1782018   direktur jenderal pemasyarakatan kemenkumham sri puguh budi utami  pengurangan masa tahanan  berdampak langsung  penghematan biaya makan narapidana    remisi tahun    menghemat anggaran biaya makan narapidana sebesar rp 118 miliar   ujarnya  siaran pers  jakarta  kamis  1682018   baca   hut 73 ri  102 976 napi  remisi  2 220  antaranya bebasjumlah anggaran  dihemat  didapatkan  hitungan biaya makan per orang per hari sebesar rata rata rp 14 700 dikalikan 8 091 870   hari  dihemat  remisi tersebut 102 976 napi  mendapatkan remisi  2 220  antaranya langsung menghirup udara kebebasan sri puguh budi utami mengatakan   100 776 narapidana  tak langsung bebas  25 084 orang menerima remisi 1 bulan  22 739 orang menerima remisi 2 bulan baca   hut ri 73  pelaku bom bali umar patek  remisi 2 bulansementara   29 451 orang menerima remisi 3 bulan  14 170 orang menerima remisi 4 bulan  penerima remisi 5 bulan berjumlah 7 691   1 641 orang menerima remisi 6 bulan  jumlah warga binaan  menghuni 522 lapas  rutan   lpka se indonesia berjumlah 250 452 terdiri  narapidana berjumlah 177 691 orang  tahanan sebanyak 72 761 orang   daya tampung  tersedia   124 696 orang   
resmikan  media center   jk targetkan 4 miliar orang tonton asian games 2018   kompas com , jakarta  kompas com   wakil presiden jusuf kalla meresmikan media center asian games 2018  berada  jakarta convention center  kamis  1672018   kalla menuturkan  peran media center  pesta olahraga terbesar negara negara asia  teramat penting         mungkin  penyiaran   mencapai seluruh dunia asian games    ujar kalla usai meresmikan media center kalla mengatakan   sering  mengatakan  pemerintah mengharapkan kesuksesan   terkait prestasi   sukses  penyelengaraan baca   empat jam berlalu  obor asian games 2018  tiba  jakarta utarawapres mendapatkan laporan   10 000 lebih wartawan   luar negeri  melaporkan penyelenggaraan asian games 2018      tutur kalla  media center menjadi penting  10 000 wartawan tersebut  melaporkan berita  fasiltas  memadai adapun  pemerintah menargetkan  gelaran asian games 2018  ditonton  4 miliar orang  seluruh dunia       ucapakan selamat  terima kasih   semoga  diselenggarakan  diatur   back up baik sistemnya  listriknya  kira pln   kata     seluruh service  dibutuhkan  sini inilah sebenarnya fungsi  media center   bagaimana apa   kerjakan  sia sia   tutur kalla   
gaji pns bakal dinaikkan  ketua dpr minta tak dihubungkan  politik   kompas com , jakarta  kompas com   ketua dpr bambang soesatyo meminta semua pihak  menghubung hubungkan rencana pemerintah menaikkan gaji pns sebesar 5 persen  aspek politik menjelang pilpres 2019    harusnya  bersyukur   menghubung hubungkannya  kepentingan politik   kata bamsoet  sapaannya   kompleks parlemen  senayan  jakarta  kamis  1682018   baca   tahun depan  pemerintah  naikkan gaji pns sebesar 5 persenia menilai   adanya rencana pemerintah menaikan gaji pns justru menunjukan kemampuan negara  meningkatkan kesejahteraan aparatur     sebenarnya patut bersyukur   kalo gaji pns dinaikkan  artinya pemerintah  punya kemampuan meningkatkan kesejahteraan birokrasinya    termasuk bagian  rakyat   lanjut sebelumnya pemerintah berencana menaikkan gaji pokok  pensiun pokok   aparatur negara  2019 mendatang baca   soal rencana pemerintah naikkan gaji pns 5 persen   kata praboworencana  bakal dimasukkan  rancangan anggaran pendapatan  belanja negara  rapbn  2019     2019  pemerintah  menaikkan gaji pokok  pensiun pokok  aparatur negara  pensiunan sebesar rata rata 5 persen   ucap presiden joko widodo  jokowi   rapat paripurna rapbn 2019  gedung dpr ri  senayan  jakarta  kamis  1682018   rencana tersebut dicanangkan pemerintah  melanjutkan tren positif  terjadi  birokrasi selama 2018 baca   jokowi naikkan gaji pns 5 persen  pks nilai terkait pilpres 2019pada 2018  pemerintah  melakukan percepatan pelaksanaan reformasi  86 kementerianlembaga  kl   memberikan pelayanan publik  lebih mudah  baik   cepat   transparan rencana kenaikan gaji pokok  pensiun pokok   diharapkan jokowi  semakin memberikan peningkatan kualitas birokrasi  negeri    peningkatan kualitas  motivasi birokrasi terus dilakukan  aparatur negara makin profesional  bersih   terjaga kesejahteraannya   tutur jokowi   
mui sebut maruf amin bakal mundur  jabatan ketua   kompas com , jakarta  kompas com   wakil ketua umum majelis ulama islam  mui  zainut tauhid menyatakan  ketua umum mui maruf amin  mundur  jabatannya lantaran mendaftar  cawapres pendamping presiden joko widodo  pilpres 2019    iya  mundur      melihat  aturan     apdprt   pedoman dasar  pedoman rumah tangga   kata zainut  kompleks parlemen  senayan  jakarta  kamis  1682018   baca   maruf amin  ikuti mekanisme aturan terkait jabatan ketua muiia memastikan mui  membahas kelanjutan status maruf  ketua mui  konsekuensi atas pendaftarannya  cawapres   waktu dekat     dilakukan  banyaknya pimpinan mui  pergi menunaikan ibadah haji       dibahas    kebetulan banyak pengurus  berangkat haji   jadi    menyelenggarakan rapat     lanjut    
politisi pan setuju djoko santoso jadi ketua timses prabowo sandiaga   kompas com , jakarta  kompas com   wakil ketua umum partai amanat nasional mulfachri harahap menyatakan  partainya setuju atas penunjukan djoko santoso  ketua tim sukses pasangan bakal calon presiden  bakal calon wakil presiden prabowo subianto sandiaga uno  kata mulfachri   capres  prabowo memiliki hak penuh  menunjuk ketua tim sukses     sepakat   soal tim pemenangan  sepenuhnya menjadi otoritas pak prabowo   ujar mulfachri  kompleks parlemen  senayan  jakarta  kamis  1682018      beliau  memilih orang  dianggap mampu bekerja sama kemudian  lama saling kenal  tahu karakter satu      kata    baca   pks nilai djoko santoso mampu antisipasi isu sara  pilpres 2019mulfachri mengatakan   terpenting  ketua tim sukses memiliki kemampuan  mengoordinasi tim kampanye  memaksimalkan potensi    seluruh elemen   tim  menilai djoko santoso memiliki kapasitas  melakukan   tersebut     djoko santoso pernah menjabat panglima tni  era kepresidenan susilo bambang yudhoyono  sby       kira pak djoko  jenderal tni  teruji   pernah menjadi ksad  panglima  sejumlah jabatan strategis lainnya    kira   keraguan  beliau   kalaupun  beliau  dipilih   pratai koalisi   back up full   kata mulfachri baca   pan minta penunjukkan djoko santoso dibahas dulu bersama koalisi prabowosebelumnya  wakil ketua dpp partai gerindra edhy prabowo mengungkapkan  bakal calon presiden prabowo subianto menunjuk anggota dewan pembina partai gerindra djoko santoso  tim pemenangan pasangan prabowo sandiaga  pilpres 2019 edhy  mantan panglima tni periode 2007 2010    menyatakan kesediaannya  ketua tim pemenangan    jadi pak prabowo memunjuk pak djoko  menanyakan  pak djoko  beliau bersedia  pak djoko bersedia   ujar edhy  ditemui  kediaman prabowo  jalan kertanegara  jakarta selatan  selasa  1482018  malam   
hut 73 ri  102 976 napi  remisi  2 220  antaranya bebas   kompas com , jakarta  kompas com   kementerian hukum  ham  kemenkumham  memberikan remisi  102 976 narapidana  peringatan hari kemerdekaan 73 republik indonesia  jumat  1782018   pemotongan masa tahanan  diberikan pemerintah  sebanyak 1 6 bulan   remisi diberikan  narapidana  dianggap berkelakukan baik    2 220  antaranya langsung menghirup udara kebebasan   kata direktur jenderal pemasyarakatan sri puguh budi utami  keterangan pers  jakarta  kamis  1682018   baca   hut ri 73  pelaku bom bali umar patek  remisi 2 bulansri puguh mengatakan   100 776 narapidana  tak langsung bebas  25 084 orang menerima remisi 1 bulan  22 739 orang menerima remisi 2 bulan   29 451 orang menerima remisi 3 bulan  14 170 orang menerima remisi 4 bulan  penerima remisi 5 bulan berjumlah 7 691   1 641 orang menerima remisi 6 bulan lebih lanjut sri puguh mengatakan  remisi bukan sekedar pemberian hadiah     momentum  mengembalikan marwah lapas baca   5 749 napi  remisi  jateng  62 orang langsung bebasmenurutnya  lapas menempatkan penilaian perubahan perilaku menjadi indikator utama  proses pemasyarakatan   tujuannya  menciptakan pemulihan  menurunnya angka resedivis hingga   jumlah warga binaan  menghuni 522 lapas  rutan   lpka se indonesia berjumlah 250 452 terdiri  narapidana berjumlah 177 691 orang  tahanan sebanyak 72 761 orang   daya tampung  tersedia   124 696 orang   
menkumham pastikan pecat sipir  ditangkap  diduga teroris   kompas com , jakarta  kompas com   menteri hukum  hak asasi manusia  menkumham  yassona laoly memastikan  memecat oknum sipir lembaga pemasyarakatan  ditangkap atas dugaan terlibat terorisme     diusulkan pemecatan   proses pemecatan   ujar yasonna  gedung dpr  jakarta  kamis  1682018   yassona mengungkapkan   ditangkap polisi  oknum sipir tersebut  lama tak masuk bekerja       pihaknya mengambil tindakan tegas  mengungkapkan identitas sipir  tempat lapas sipir  diduga terpapar paham terorisme tersebut baca   diduga teroris  seorang sipir rutan kota palangkaraya ditangkapmeski   kata   lapas  memiliki berbagai prosedur ketat  narapidana terorisme tak  langsung berkomunikasi   sipir   sipir sipir khusus lapas terorisme   dilatih melalui berbagai penilaian  standar  ketat  dilakukan   sipir tak dirasuki ideologi radikal  terorisme   narapidana terorisme sebelumnya diberitakan  tim densus 88 antiteror mabes polri melakukan penggeledahan  rumah terduga teroris  jalan rajawali gang rukun  palangkaraya  senin  1382018   polisi mengamankan seorang pria bernisial l   dituding terduga teroris   l sendiri  seorang sipir  rumah tahanan kota palangkaraya aparat  menyita barang bukti serbuk  diduga bahan peledak  barang lainnya  rumah terduga teroris   
beredar gambar struktur tim sukses prabowo sandiaga  pan sebut baru rencana   kompas com , jakarta  kompas com   wakil ketua umum partai amanat nasional  pan  mulfachri harahap membantah   struktur tim sukses resmi  pasangan bakal capres  cawapres prabowo subianto  sandiaga uno  pilpres 2019    disampaikan mulfachri menanggapi gambar struktur tim sukses prabowo sandiaga  muncul  status whatsapp sekjen pan eddy soeparno  kamis  1682018     enggak      baru rencana   kata mulfachri  kompleks parlemen  senayan  jakarta  kamis  1682018     menyatakan pembentukan struktur tim pemenangan prabowo sandiaga  selesai   terus dibahas baca   pks setuju djoko santoso jadi ketua tim pemenangan prabowo sandiaga mulfachri mengatakan  waktu dekat struktur tim pemenangan prabowo sandiaga  segera diumumkan  publik     kira  waktu dekat     insya allah  waktu dekat   kata mulfachri    sebelumnya beredar gambar struktur tim sukses prabowo sandiaga  status whatsapp sekjen pan eddy soeparno baca   sby  ahy  zulkifli  aher masuk kandidat ketua tim pemenangan prabowo sandiaga  gambar tersebut  struktur  dipimpin  ketua dewan pembina    bawahnya baru dipimpin ketua dewan penasehat  pengarah   pakar   ketiga dewan  membawahi ketua tim kampanye  empat wakil ketua tim kampanye  konsultan politik   juru bicara    bawahnya   terdapat delapan direktorat  dibawahi  direktorat galangan  relawan  logistik  hukum  kampanye  informasi  teknologi  komunikasi  media  saksi   kebijakan  program   
